Year,Sector,Fuel,ktoe
2015,Agri & Fisheries,NonRenWaste,0
2016,Agri & Fisheries,NonRenWaste,0
2017,Agri & Fisheries,NonRenWaste,0
1990,Transport,Elec,1.38
1991,Transport,Elec,1.46
1992,Transport,Elec,1.46
1993,Transport,Elec,1.55
1994,Transport,Elec,1.55
1995,Transport,Elec,1.55
1996,Transport,Elec,1.63
1997,Transport,Elec,1.98
1998,Transport,Elec,2.06
1999,Transport,Elec,2.15
2000,Transport,Elec,2.24
2001,Transport,Elec,2.24
2002,Transport,Elec,1.98
2003,Transport,Elec,1.98
2004,Transport,Elec,4.34
2005,Transport,Elec,5.07
2006,Transport,Elec,4.87
2007,Transport,Elec,4.38
2008,Transport,Elec,4.65
2009,Transport,Elec,3.85
2010,Transport,Elec,3.92
2011,Transport,Elec,3.92
2012,Transport,Elec,3.91
2013,Transport,Elec,3.65
2014,Transport,Elec,3.46
2015,Transport,Elec,3.74
2016,Transport,Elec,4.2
2017,Transport,Elec,4.51
1990,Residential,Elec,356
1991,Residential,Elec,374
1992,Residential,Elec,396
1993,Residential,Elec,403
1994,Residential,Elec,415
1995,Residential,Elec,427
1996,Residential,Elec,449
1997,Residential,Elec,458
1998,Residential,Elec,474
1999,Residential,Elec,517
2000,Residential,Elec,548
2001,Residential,Elec,579
2002,Residential,Elec,566
2003,Residential,Elec,599
2004,Residential,Elec,632
2005,Residential,Elec,646
2006,Residential,Elec,695
2007,Residential,Elec,693
2008,Residential,Elec,733
2009,Residential,Elec,699
2010,Residential,Elec,735
2011,Residential,Elec,712
2012,Residential,Elec,698
2013,Residential,Elec,684
2014,Residential,Elec,663
2015,Residential,Elec,678
2016,Residential,Elec,677
2017,Residential,Elec,684
1990,Industry,Elec,386
1991,Industry,Elec,398
1992,Industry,Elec,420
1993,Industry,Elec,435
1994,Industry,Elec,462
1995,Industry,Elec,496
1996,Industry,Elec,532
1997,Industry,Elec,569
1998,Industry,Elec,609
1999,Industry,Elec,625
2000,Industry,Elec,665
2001,Industry,Elec,667
2002,Industry,Elec,672
2003,Industry,Elec,626
2004,Industry,Elec,592
2005,Industry,Elec,660
2006,Industry,Elec,773
